signal_name,timestamp_ms,value,message_id,message_name,unit
Max_Discharge_Current,397,0.0,0x150,BMS_SOE,A
Max_Regen_Current,397,0.0,0x150,BMS_SOE,A
Battery_Voltage,397,0.0,0x150,BMS_SOE,V
Battery_Temperature,397,0.0,0x150,BMS_SOE,C
Battery_Current,397,0.0,0x150,BMS_SOE,A
InternalFault_Summary,397,1.0,0x151,BMS_Faults,
External_Fault,397,1.0,0x151,BMS_Faults,
Undervoltage_Fault,397,1.0,0x151,BMS_Faults,
Overvoltage_Fault,397,0.0,0x151,BMS_Faults,
Undertemperature_Fault,397,0.0,0x151,BMS_Faults,
Overtemperature_Fault,397,0.0,0x151,BMS_Faults,
Overcurrent_Fault,397,0.0,0x151,BMS_Faults,
Open_Wire_Fault,397,0.0,0x151,BMS_Faults,
Open_Wire_Temp_Fault,397,0.0,0x151,BMS_Faults,
Pec_Fault,397,0.0,0x151,BMS_Faults,
Total_PEC_Failures,397,0.0,0x151,BMS_Faults,
BMS_State,397,0.0,0x152,BMS_Status,"State that the BMS is in:
Idle = 0,
Precharge = 1,
Active = 2,
Charge = 3,
Fault = 4"
IMD_State,397,1.0,0x152,BMS_Status,State of the IMD. High is Healthy 
Max_Cell_Temp,397,0.0,0x152,BMS_Status,C
Min_Cell_Temp,397,0.0,0x152,BMS_Status,C
Max_Cell_Voltage,397,2.0,0x152,BMS_Status,V
Min_Cell_Voltage,397,2.0,0x152,BMS_Status,V
BMS_SOC,397,0.0,0x152,BMS_Status,
Cell_V_0,398,2.0,0x153,BMS_Voltages_0,V
Cell_V_1,398,2.0,0x153,BMS_Voltages_0,V
Cell_V_2,398,2.0,0x153,BMS_Voltages_0,V
Cell_V_3,398,2.0,0x153,BMS_Voltages_0,V
Cell_V_4,398,2.0,0x153,BMS_Voltages_0,V
Cell_V_5,398,2.0,0x153,BMS_Voltages_0,V
Cell_V_6,398,2.0,0x153,BMS_Voltages_0,V
Cell_OCV_Offset_0,398,0.0,0x153,BMS_Voltages_0,V
Cell_V_7,398,2.0,0x154,BMS_Voltages_1,V
Cell_V_8,398,2.0,0x154,BMS_Voltages_1,V
Cell_V_9,398,2.0,0x154,BMS_Voltages_1,V
Cell_V_10,398,2.0,0x154,BMS_Voltages_1,V
Cell_V_11,398,2.0,0x154,BMS_Voltages_1,V
